stratum,Position I,Position II,Position III,Position IV,code
Peshawar,1,42,2,1,14221
Peshawar,1,42,2,2,14222
Peshawar,1,42,2,3,14223
Rawalpindi,2,12,2,1,21221
Rawalpindi,2,12,2,2,21222
Rawalpindi,2,12,2,3,21223
Sargodha,2,21,2,1,22121
Sargodha,2,21,2,2,22122
Sargodha,2,21,2,3,22123
Faisalabad,2,31,2,1,23121
Faisalabad,2,31,2,2,23122
Faisalabad,2,31,2,3,23123
Gujranwala,2,41,2,1,24121
Gujranwala,2,41,2,2,24122
Gujranwala,2,41,2,3,24123
Sialkot,2,45,2,1,24521
Sialkot,2,45,2,2,24522
Sialkot,2,45,2,3,24523
Lahore,2,51,2,1,25121
Lahore,2,51,2,2,25122
Lahore,2,51,2,3,25123
Multan,2,72,2,1,27221
Multan,2,72,2,2,27222
Multan,2,72,2,3,27223
Bahawalpur,2,91,2,1,29121
Bahawalpur,2,91,2,2,29122
Bahawalpur,2,91,2,3,29123
Sukkur,3,21,2,1,32121
Sukkur,3,21,2,2,32122
Sukkur,3,21,2,3,32123
Hyderabad,3,33,2,1,33321
Hyderabad,3,33,2,2,33322
Hyderabad,3,33,2,3,33323
Quetta,4,11,2,1,41121
Quetta,4,11,2,2,41122
Quetta,4,11,2,3,41123
Islamabad,6,11,2,1,61121
Islamabad,6,11,2,2,61122
Islamabad,6,11,2,3,61123
Chitral,1,11,1,0,11110
Upper Dir,1,12,1,0,11210
Swat,1,13,1,0,11310
Shangla,1,14,1,0,11410
Bonair,1,15,1,0,11510
Malakand,1,16,1,0,11610
Kohistan,1,17,1,0,11710
Manshera,1,21,1,0,12110
Batagram,1,22,1,0,12210
Abbottabad,1,23,1,0,12310
Haripur ,1,24,1,0,12410
Tor Garh,1,25,1,0,12510
Mardan,1,26,1,0,12610
Swabi,1,31,1,0,13110
Charsada,1,32,1,0,13210
Pershawar,1,41,1,0,14110
Nowsehra,1,42,1,0,14210
Kohat,1,43,1,0,14310
Hangu,1,51,1,0,15110
Karak,1,52,1,0,15210
Bannu,1,53,1,0,15310
Lakki Marwat,1,61,1,0,16110
D. I. Khan,1,62,1,0,16210
Tank,1,71,1,0,17110
Attock,1,72,1,0,17210
Rawalpindi,2,12,1,0,21210
Jehlum,2,13,1,0,21310
Chakwal,2,14,1,0,21410
Sargodha,2,21,1,0,22110
Bhakhar,2,22,1,0,22210
Khushab,2,23,1,0,22310
Mianwali,2,24,1,0,22410
Faisalabad,2,31,1,0,23110
Chiniot,2,32,1,0,23210
Jhang,2,33,1,0,23310
