STRATUM(city),P. Code at position I,Code From II and III,Area Code at 4,HHCode:5,
Peshawar,1,42,2,1422,
Rawalpindi,2,12,2,2122,
Sargodha,2,21,2,2212,
Faisalabad,2,31,2,2312,
Gujranwala,2,41,2,2412,
Sialkot,2,45,2,2452,
Lahore,2,51,2,2512,
Multan,2,72,2,2722,
Bahawalpur,2,91,2,2912,
Sukkur,3,21,2,3212,
Hyderabad,3,33,2,3332,
Karachi,3,51,2,3512,
Karachi,3,52,2,3522,
Karachi,3,53,2,3532,
Karachi,3,54,2,3542,
Karachi,3,55,2,3552,
Quetta,4,11,2,4112,
Islamabad,6,11,2,6112,
Chitral,1,10,2,1102,
Upper Dir,1,10,2,1102,
Lower Dir,1,10,2,1102,
Swat,1,10,2,1102,
Shangla,1,10,2,1102,
Bonair,1,10,2,1102,
Malakand,1,10,2,1102,
Kohistan,1,20,2,1202,
Manshera,1,20,2,1202,
Batagram,1,20,2,1202,
Abbottabad,1,20,2,1202,
Haripur,1,20,2,1202,
Tor Garh,1,20,2,1202,
Mardan,1,30,2,1302,
Swabi,1,30,2,1302,
Charsada,1,40,2,1402,
Peshawar,1,40,2,1402,
Nowsehra,1,40,2,1402,
Kohat,1,50,2,1502,
Hangu,1,50,2,1502,
Karak,1,50,2,1502,
Bannu,1,60,2,1602,
Lakki Marwat,1,60,2,1602,
D. I. Khan,1,70,2,1702,
Tank,1,70,2,1702,
Attock,2,10,2,2102,
Rawalpindi,2,10,2,2102,
Jehlum,2,10,2,2102,
Chakwal,2,10,2,2102,
Sargodha,2,20,2,2202,
Bhakhar,2,20,2,2202,
Khushab,2,20,2,2202,
Mianwali,2,20,2,2202,
Faisalabad,2,30,2,2302,
Chiniot,2,30,2,2302,
Jhang,2,30,2,2302,
T.T. Singh,2,30,2,2302,
Gujranwala,2,40,2,2402,
Hafizabad,2,40,2,2402,
Gujrat,2,40,2,2402,
Mandi Bahuddin,2,40,2,2402,
Sialkot,2,40,2,2402,
Narowal,2,40,2,2402,
Lahore,2,50,2,2502,
Kasur,2,50,2,2502,
Sheikhupura,2,50,2,2502,
Nankana Sahib,2,50,2,2502,
Okara,2,60,2,2602,
Sahiwal,2,60,2,2602,
Pakpatten,2,60,2,2602,
Vehari,2,70,2,2702,
Multan,2,70,2,2702,
Lodhran,2,70,2,2702,
Khanewal,2,70,2,2702,
D. G. Khan,2,80,2,2802,
Rajanpur,2,80,2,2802,
Layyah,2,80,2,2802,
Muzaffar Garh,2,80,2,2802,
Bahawalpur,2,90,2,2902,
Bahawalnagar,2,90,2,2902,
Rahim Yar Khan,2,90,2,2902,
Jacobabad,3,10,2,3102,
Kashmore,3,10,2,3102,
Shikarpur,3,10,2,3102,
Larkana,3,10,2,3102,
Shahdadkot,3,10,2,3102,
Sukkur,3,20,2,3202,
Ghotki,3,20,2,3202,
Khairpur,3,20,2,3202,
Nowshero Feroze,3,20,2,3202,
Nawabshah,3,20,2,3202,
Dadu,3,30,2,3302,
Jamshoro,3,30,2,3302,
Hyderabad,3,30,2,3302,
Tando Allah Yar,3,30,2,3302,
Tando Muhammad,3,30,2,3302,
Matiari,3,30,2,3302,
Badin,3,30,2,3302,
Thatta,3,30,2,3302,
Sanghar,3,40,2,3402,
Mir Pur Khas,3,40,2,3402,
Umer Kot,3,40,2,3402,
Tharparkar,3,40,2,3402,
Quetta,4,10,2,4102,
Pishine,4,10,2,4102,
Qilla Abdullah,4,10,2,4102,
Chaghai,4,10,2,4102,
Nushki,4,10,2,4102,
Loralai,4,20,2,4202,
