subprovince,subprovince code
Abbottabad,1012
Bajur,1022
Bannu,1032
Batagram,1042
Bunair,1052
Charsada,1062
Chitral,1072
D. I. Khan,1082
Hangu,1092
Haripur,1102
Karak,1112
Khyber,1122
Kohat,1132
Kohistan,1142
Kurram,1152
Lakki Marwat,1162
Lower Dir,1172
Malakand,1182
Mansehra,1192
Mardan,1202
Mohmand,1212
North Waziristan,1222
Nowshera,1232
Orakzai,1242
Peshawar,1252
Shangla,1262
South Waziristan,1272
Swabi,1282
Swat,1292
Tank,1302
Tor Garh,1312
Upper Dir,1322
Attock,2012
Bahawalnagar,2022
Bahawalpur,2032
Bhakhar,2042
Chakwal,2052
Chiniot,2062
D. G. Khan,2072
Faisalabad,2082
Gujranwala,2092
Gujrat,2102
Hafizabad,2112
Islamabad,2122
Jehlum,2132
Jhang,2142
Kasur,2152
Khanewal,2162
Khushab,2172
Lahore,2182
Layyah,2192
Lodhran,2202
Mandi Bahauddin,2212
Mianwali,2222
Multan,2232
Muzaffar Garh,2242
Nankana Sahib,2252
Narowal,2262
Okara,2272
Pakpattan,2282
Rahim Yar Khan,2292
Rajanpur,2302
Rawalpindi,2312
Sahiwal,2322
Sargodha,2332
Sheikhupura,2342
Sialkot,2352
T.T. Singh,2362
Vehari,2372
Badin,3012
Dadu,3022
Ghotki,3032
Hyderabad,3042
Jacobabad,3052
Jamshoro,3062
Karachi Central,3072
Karachi East,3082
Karachi Malir,3092
Karachi South,3102
Karachi West,3112
Kashmore,3122
Khairpur,3132
Korangi,3142
Larkana,3152
Matiari,3162
Mir Pur Khas,3172
Nowshero Feroze,3182
Sanghar,3192
Shahdadkot,3202
Shaheed Banazir Abad,3212
Shikarpur,3222
Sujawal,3232
Sukkur,3242
Tando Allah Yar,3252
Tando Muhammad Khan,3262
Tharparkar,3272
Thatta,3282
Umer Kot,3292
Awaran,4012
Barkhan,4022
Chagai,4032
Dera Bugti,4042
Duki,4052
Gwadar,4062
Harnai,4072
Jaffarabad,4082
Jhal Magsi,4092
Kachhi/ Bolan,4102
Kalat,4112
Kech/Turbat,4122
Kharan,4132
Khuzdar,4142
Kohlu,4152
Lasbela,4162
Loralai,4172
Mastung,4182
Musa Khel,4192
Nasirabad/ Tamboo,4202
Nushki,4212
Panjgoor,4222
Pishin,4232
Qilla Abdullah,4242
Qilla Saifullah,4252
Quetta,4262
Shaheed Sikandar Abad,4272
Sherani,4282
Sibbi,4292
Sohbatpur,4302
Washuk,4312
Zhob,4322
Ziarat,4332
Bagh,5012
Bhimber,5022
Hattian Bala,5032
Haveli,5042
Kotli,5052
Mirpur,5062
Muzaffarabad,5072
Neelum,5082
Rawalakot/ponch,5092
Sudhnoti,5102
Astore,6012
Biltistan,6022
Diamir,6032
Ghanchi,6042
Ghizer,6052
Gilgit,6062
Hunza,6072
Kharmang,6082
Nagar,6092
Shigar,6102
Abbottabad,1011
Bajur,1021
Bannu,1031
Batagram,1041
Bunair,1051
Charsada,1061
Chitral,1071
D. I. Khan,1081
Hangu,1091
Haripur,1101
Karak,1111
Khyber,1121
Kohat,1131
Kohistan,1141
Kurram,1151
Lakki Marwat,1161
Lower Dir,1171
Malakand,1181
Mansehra,1191
Mardan,1201
Mohmand,1211
North Waziristan,1221
Nowshera,1231
Orakzai,1241
Peshawar,1251
Shangla,1261
South Waziristan,1271
Swabi,1281
Swat,1291
Tank,1301
Tor Garh,1311
Upper Dir,1321
Attock,2011
Bahawalnagar,2021
Bahawalpur,2031
Bhakhar,2041
Chakwal,2051
Chiniot,2061
D. G. Khan,2071
Faisalabad,2081
Gujranwala,2091
Gujrat,2101
Hafizabad,2111
Islamabad,2121
Jehlum,2131
Jhang,2141
Kasur,2151
Khanewal,2161
Khushab,2171
Lahore,2181
Layyah,2191
Lodhran,2201
Mandi Bahauddin,2211
Mianwali,2221
Multan,2231
Muzaffar Garh,2241
Nankana Sahib,2251
Narowal,2261
Okara,2271
Pakpattan,2281
Rahim Yar Khan,2291
Rajanpur,2301
Rawalpindi,2311
Sahiwal,2321
Sargodha,2331
Sheikhupura,2341
Sialkot,2351
T.T. Singh,2361
Vehari,2371
Badin,3011
Dadu,3021
Ghotki,3031
Hyderabad,3041
Jacobabad,3051
Jamshoro,3061
Karachi Central,3071
Karachi East,3081
Karachi Malir,3091
Karachi South,3101
Karachi West,3111
Kashmore,3121
Khairpur,3131
Korangi,3141
Larkana,3151
Matiari,3161
Mir Pur Khas,3171
Nowshero Feroze,3181
Sanghar,3191
Shahdadkot,3201
Shaheed Banazir Abad,3211
Shikarpur,3221
Sujawal,3231
Sukkur,3241
Tando Allah Yar,3251
Tando Muhammad Khan,3261
Tharparkar,3271
Thatta,3281
Umer Kot,3291
Awaran,4011
Barkhan,4021
Chagai,4031
Dera Bugti,4041
Duki,4051
Gwadar,4061
Harnai,4071
Jaffarabad,4081
Jhal Magsi,4091
Kachhi/ Bolan,4101
Kalat,4111
Kech/Turbat,4121
Kharan,4131
Khuzdar,4141
Kohlu,4151
Lasbela,4161
Loralai,4171
Mastung,4181
Musa Khel,4191
Nasirabad/ Tamboo,4201
Nushki,4211
Panjgoor,4221
Pishin,4231
Qilla Abdullah,4241
Qilla Saifullah,4251
Quetta,4261
Shaheed Sikandar Abad,4271
Sherani,4281
Sibbi,4291
Sohbatpur,4301
Washuk,4311
Zhob,4321
Ziarat,4331
Bagh,5011
Bhimber,5021
Hattian Bala,5031
Haveli,5041
Kotli,5051
Mirpur,5061
Muzaffarabad,5071
Neelum,5081
Rawalakot/ponch,5091
Sudhnoti,5101
Astore,6011
Biltistan,6021
Diamir,6031
Ghanchi,6041
Ghizer,6051
Gilgit,6061
Hunza,6071
Kharmang,6081
Nagar,6091
Shigar,6101
