Province,dis1,dis2,subprovince,Code at Position I,Code at Position II & III,Code at Position IV,subprovince code,
MALAKAND ,CHITRAL DISTRICT,Chitral District,Chitral,1,10,2,1102,
MALAKAND ,UPPER DIR DISTRICT,Upper Dir District,Upper Dir,1,10,2,1102,
MALAKAND ,LOWER DIR DISTRICT,Lower Dir District,Lower Dir,1,10,2,1102,
MALAKAND ,SWAT DISTRICT,Swat District,Swat,1,10,2,1102,
MALAKAND ,SHANGLA DISTRICT,Shangla District,Shangla,1,10,2,1102,
MALAKAND ,BUNER DISTRICT,Buner District,Buner,1,10,2,1102,
MALAKAND ,MALAKAND PROTECTED AREA,Malakand Protected Area,Malakand Protected,1,10,2,1102,
HAZARA,KOHISTAN DISTRICT,Kohistan District,Kohistan,1,20,2,1202,
HAZARA,MANSEHRA DISTRICT,Mansehra District,Mansehra,1,20,2,1202,
HAZARA,BATAGRAM DISTRICT,Batagram District,Batagram,1,20,2,1202,
HAZARA,ABBOTTABAD DISTRICT,Abbottabad District,Abbottabad,1,20,2,1202,
HAZARA,HARIPUR DISTRICT,Haripur District,Haripur,1,20,2,1202,
HAZARA,TORGHAR DISTRICT,Torghar District,Torghar,1,20,2,1202,
MARDAN ,MARDAN DISTRICT,Mardan District,Mardan,1,30,2,1302,
MARDAN ,SWABI DISTRICT,Swabi District,Swabi,1,30,2,1302,
PESHAWAR ,CHARSADDA DISTRICT,Charsadda District,Charsadda,1,40,2,1402,
PESHAWAR ,PESHAWAR DISTRICT,Peshawar District,Peshawar,1,40,2,1402,
PESHAWAR ,NOWSHERA DISTRICT,Nowshera District,Nowshera,1,40,2,1402,
PESHAWAR ,KHYBER DISTRICT,Khyber District,Khyber,1,40,2,1402,
KOHAT ,KOHAT DISTRICT,Kohat District,Kohat,1,50,2,1502,
KOHAT ,HANGU DISTRICT,Hangu District,Hangu,1,50,2,1502,
KOHAT ,KARAK DISTRICT,Karak District,Karak,1,50,2,1502,
KOHAT ,KURRAM DISTRICT,Kurram District,Kurram,1,50,2,1502,
BANNU ,BANNU DISTRICT,Bannu District,Bannu,1,60,2,1602,
BANNU ,LAKKI MARWAT DISTRICT,Lakki Marwat District,Lakki Marwat,1,60,2,1602,
BANNU ,NORH WAZIRISTAN,Norh Waziristan,Norh,1,60,2,1602,
DERA ISMAIL KHAN ,DERA ISMAIL KHAN DISTRICT,Dera Ismail Khan District,Dera Ismail Khan,1,70,2,1702,
DERA ISMAIL KHAN ,TANK DISTRICT,Tank District,Tank,1,70,2,1702,
RAWALPINDI,ATTOCK,Attock,Attock,2,10,2,2102,
RAWALPINDI,RAWALPINDI,Rawalpindi,Rawalpindi,2,10,2,2102,
RAWALPINDI,JHELUM,Jhelum,Jhelum,2,10,2,2102,
RAWALPINDI,CHAKWAL,Chakwal,Chakwal,2,10,2,2102,
SARGODHA,SARGODHA,Sargodha,Sargodha,2,20,2,2202,
SARGODHA,BHAKKAR,Bhakkar,Bhakkar,2,20,2,2202,
SARGODHA,KHUSHAB,Khushab,Khushab,2,20,2,2202,
SARGODHA,MIANWALI,Mianwali,Mianwali,2,20,2,2202,
FAISALABAD,FAISALABAD,Faisalabad,Faisalabad,2,30,2,2302,
FAISALABAD,CHINIOT,Chiniot,Chiniot,2,30,2,2302,
FAISALABAD,JHANG,Jhang,Jhang,2,30,2,2302,
FAISALABAD,TOBA TEK SINGH,Toba Tek Singh,Toba Tek Singh,2,30,2,2302,
GUJRANWALA,GUJRANWALA,Gujranwala,Gujranwala,2,40,2,2402,
GUJRANWALA,HAFIZABAD,Hafizabad,Hafizabad,2,40,2,2402,
GUJRANWALA,GUJRAT,Gujrat,Gujrat,2,40,2,2402,
GUJRANWALA,MANDI BAHAUDDIN,Mandi Bahauddin,Mandi Bahauddin,2,40,2,2402,
GUJRANWALA,SIALKOT,Sialkot,Sialkot,2,40,2,2402,
GUJRANWALA,NAROWAL,Narowal,Narowal,2,40,2,2402,
LAHORE,LAHORE,Lahore,Lahore,2,50,2,2502,
LAHORE,KASUR,Kasur,Kasur,2,50,2,2502,
LAHORE,SHEIKHUPURA,Sheikhupura,Sheikhupura,2,50,2,2502,
LAHORE,NANKANA SAHIB,Nankana Sahib,Nankana Sahib,2,50,2,2502,
SAHIWAL ,OKARA DISTRICT,Okara District,Okara,2,60,2,2602,
SAHIWAL ,SAHIWAL DISTRICT,Sahiwal District,Sahiwal,2,60,2,2602,
SAHIWAL ,PAKPATTAN DISTRICT,Pakpattan District,Pakpattan,2,60,2,2602,
MULTAN ,VEHARI DISTRICT,Vehari District,Vehari,2,70,2,2702,
MULTAN ,MULTAN DISTRICT,Multan District,Multan,2,70,2,2702,
MULTAN ,LODHRAN DISTRICT,Lodhran District,Lodhran,2,70,2,2702,
MULTAN ,KHANEWAL DISTRICT,Khanewal District,Khanewal,2,70,2,2702,
DERA GHAZI KHAN ,DERA GHAZI KHAN DISTRICT,Dera Ghazi Khan District,Dera Ghazi Khan,2,80,2,2802,
DERA GHAZI KHAN ,RAJANPUR DISTRICT,Rajanpur District,Rajanpur,2,80,2,2802,
DERA GHAZI KHAN ,LAYYAH DISTRICT,Layyah District,Layyah,2,80,2,2802,
DERA GHAZI KHAN ,MUZAFFARGARH DISTRICT,Muzaffargarh District,Muzaffargarh,2,80,2,2802,
BAHAWALPUR ,BAHAWALPUR DISTRICT,Bahawalpur District,Bahawalpur,2,90,2,2902,
BAHAWALPUR ,BAHAWALNAGAR DISTRICT,Bahawalnagar District,Bahawalnagar,2,90,2,2902,
BAHAWALPUR ,RAHIM YAR KHAN DISTRICT,Rahim Yar Khan District,Rahim Yar Khan,2,90,2,2902,
ISLAMABAD,ISLAMABAD,Islamabad,Islamabad,2,01,2,212,
LARKANA ,JACOBABAD DISTRICT,Jacobabad District,Jacobabad,3,10,2,3102,
LARKANA ,KASHMOR DISTRICT,Kashmor District,Kashmor,3,10,2,3102,
LARKANA ,LARKANA DISTRICT,Larkana District,Larkana,3,10,2,3102,
LARKANA ,KAMBAR SHAHDADKOT DISTRICT,Kambar Shahdadkot District,Kambar Shahdadkot,3,10,2,3102,
LARKANA ,SHIKARPUR DISTRICT,Shikarpur District,Shikarpur,3,10,2,3102,
SUKKUR ,SUKKUR DISTRICT,Sukkur District,Sukkur,3,20,2,3202,
SUKKUR ,GHOTKI DISTRICT,Ghotki District,Ghotki,3,20,2,3202,
SUKKUR ,KHAIRPUR DISTRICT,Khairpur District,Khairpur,3,20,2,3202,
HYDERABAD ,DADU DISTRICT,Dadu District,Dadu,3,30,2,3302,
HYDERABAD ,JAMSHORO DISTRICT,Jamshoro District,Jamshoro,3,30,2,3302,
HYDERABAD ,HYDERABAD DISTRICT,Hyderabad District,Hyderabad,3,30,2,3302,
HYDERABAD ,TANDO ALLAH YAR DISTRICT,Tando Allah Yar District,Tando Allah Yar,3,30,2,3302,
HYDERABAD ,TANDO MUHAMMAD KHAN DISTRICT,Tando Muhammad Khan District,Tando Muhammad Khan,3,30,2,3302,
HYDERABAD ,MATIARI DISTRICT,Matiari District,Matiari,3,30,2,3302,
HYDERABAD ,BADIN DISTRICT,Badin District,Badin,3,30,2,3302,
HYDERABAD ,THATTA DISTRICT,Thatta District,Thatta,3,30,2,3302,
HYDERABAD ,SUJAWAL DISTRICT,Sujawal District,Sujawal,3,30,2,3302,
MIRPUR KHAS ,MIRPUR KHAS DISTRICT,Mirpur Khas District,Mirpur Khas,3,40,2,3402,
MIRPUR KHAS ,THARPARKAR DISTRICT,Tharparkar District,Tharparkar,3,40,2,3402,
