id,hhcode,idc,age,marital_status,sex,ever_admitted,currently_enrolled,region,province,subprovince code,province,year
0,1002000101.0,5,15,1,female,yes,yes,rural,punjab,1002,punjab,2004
1,1002000101.0,6,11,1,female,yes,yes,rural,punjab,1002,punjab,2004
2,1002000102.0,3,9,1,female,yes,yes,rural,punjab,1002,punjab,2004
3,1002000102.0,4,8,1,female,yes,yes,rural,punjab,1002,punjab,2004
4,1002000103.0,5,15,1,female,yes,yes,rural,punjab,1002,punjab,2004
5,1002000103.0,6,14,1,male,yes,yes,rural,punjab,1002,punjab,2004
6,1002000104.0,3,15,1,male,yes,yes,rural,punjab,1002,punjab,2004
7,1002000104.0,4,13,1,male,yes,yes,rural,punjab,1002,punjab,2004
8,1002000104.0,5,11,1,male,yes,yes,rural,punjab,1002,punjab,2004
9,1002000104.0,6,6,1,male,yes,yes,rural,punjab,1002,punjab,2004
10,1002000105.0,13,5,1,male,yes,yes,rural,punjab,1002,punjab,2004
11,1002000106.0,3,11,1,female,yes,yes,rural,punjab,1002,punjab,2004
12,1002000106.0,4,8,1,female,yes,yes,rural,punjab,1002,punjab,2004
13,1002000106.0,5,7,1,female,yes,yes,rural,punjab,1002,punjab,2004
14,1002000107.0,3,13,1,male,yes,yes,rural,punjab,1002,punjab,2004
15,1002000107.0,4,11,1,male,yes,yes,rural,punjab,1002,punjab,2004
16,1002000107.0,5,8,1,female,yes,yes,rural,punjab,1002,punjab,2004
17,1002000108.0,3,5,1,male,yes,yes,rural,punjab,1002,punjab,2004
18,1002000109.0,6,8,1,female,yes,yes,rural,punjab,1002,punjab,2004
19,1002000109.0,7,5,1,female,yes,yes,rural,punjab,1002,punjab,2004
20,1002000110.0,3,7,1,female,yes,yes,rural,punjab,1002,punjab,2004
21,1002000110.0,4,7,1,female,yes,yes,rural,punjab,1002,punjab,2004
22,1002000111.0,3,15,1,female,yes,yes,rural,punjab,1002,punjab,2004
23,1002000111.0,4,13,1,male,yes,yes,rural,punjab,1002,punjab,2004
24,1002000111.0,5,12,1,female,yes,yes,rural,punjab,1002,punjab,2004
25,1002000111.0,6,7,1,male,yes,yes,rural,punjab,1002,punjab,2004
26,1002000115.0,3,5,1,male,yes,yes,rural,punjab,1002,punjab,2004
27,1002000301.0,4,14,1,female,yes,yes,rural,punjab,1002,punjab,2004
28,1002000301.0,5,13,1,male,yes,yes,rural,punjab,1002,punjab,2004
29,1002000301.0,6,11,1,male,yes,yes,rural,punjab,1002,punjab,2004
30,1002000302.0,3,13,1,female,yes,no,rural,punjab,1002,punjab,2004
31,1002000302.0,4,12,1,female,yes,yes,rural,punjab,1002,punjab,2004
32,1002000302.0,5,9,1,male,yes,yes,rural,punjab,1002,punjab,2004
33,1002000302.0,6,7,1,female,no,,rural,punjab,1002,punjab,2004
34,1002000303.0,3,6,1,male,yes,yes,rural,punjab,1002,punjab,2004
35,1002000304.0,3,13,1,male,yes,yes,rural,punjab,1002,punjab,2004
36,1002000304.0,4,11,1,male,yes,yes,rural,punjab,1002,punjab,2004
37,1002000304.0,5,8,1,male,no,,rural,punjab,1002,punjab,2004
38,1002000305.0,6,14,1,female,yes,yes,rural,punjab,1002,punjab,2004
39,1002000305.0,7,13,1,female,yes,yes,rural,punjab,1002,punjab,2004
40,1002000305.0,8,11,1,male,yes,yes,rural,punjab,1002,punjab,2004
41,1002000306.0,4,15,1,female,yes,yes,rural,punjab,1002,punjab,2004
42,1002000306.0,5,12,1,female,yes,no,rural,punjab,1002,punjab,2004
43,1002000308.0,3,13,1,female,yes,yes,rural,punjab,1002,punjab,2004
44,1002000308.0,4,9,1,male,yes,yes,rural,punjab,1002,punjab,2004
45,1002000310.0,2,15,1,female,yes,yes,rural,punjab,1002,punjab,2004
46,1002000310.0,3,12,1,female,yes,yes,rural,punjab,1002,punjab,2004
47,1002000310.0,4,8,1,female,yes,yes,rural,punjab,1002,punjab,2004
48,1002000310.0,5,7,1,female,yes,yes,rural,punjab,1002,punjab,2004
49,1002000311.0,4,10,1,male,yes,yes,rural,punjab,1002,punjab,2004
50,1002000312.0,5,14,1,female,yes,yes,rural,punjab,1002,punjab,2004
51,1002000313.0,5,5,1,male,yes,yes,rural,punjab,1002,punjab,2004
52,1002000314.0,3,13,1,female,yes,yes,rural,punjab,1002,punjab,2004
53,1002000314.0,4,10,1,male,yes,yes,rural,punjab,1002,punjab,2004
54,1002000314.0,5,8,1,male,yes,yes,rural,punjab,1002,punjab,2004
55,1002000315.0,12,7,1,female,yes,yes,rural,punjab,1002,punjab,2004
56,1002000315.0,13,5,1,male,yes,yes,rural,punjab,1002,punjab,2004
57,1002000316.0,5,13,1,male,yes,no,rural,punjab,1002,punjab,2004
58,1002000316.0,6,11,1,female,yes,yes,rural,punjab,1002,punjab,2004
59,1002000316.0,7,9,1,female,yes,no,rural,punjab,1002,punjab,2004
60,1002000316.0,8,6,1,female,yes,yes,rural,punjab,1002,punjab,2004
61,1002000402.0,3,9,1,female,no,,rural,punjab,1002,punjab,2004
62,1002000404.0,7,13,1,female,yes,yes,rural,punjab,1002,punjab,2004
63,1002000404.0,8,8,1,male,yes,yes,rural,punjab,1002,punjab,2004
64,1002000404.0,9,6,1,female,yes,yes,rural,punjab,1002,punjab,2004
65,1002000405.0,3,7,1,male,yes,yes,rural,punjab,1002,punjab,2004
66,1002000405.0,4,5,1,male,yes,yes,rural,punjab,1002,punjab,2004
67,1002000406.0,5,12,1,female,yes,yes,rural,punjab,1002,punjab,2004
68,1002000406.0,6,8,1,female,yes,yes,rural,punjab,1002,punjab,2004
69,1002000406.0,7,7,1,female,no,,rural,punjab,1002,punjab,2004
70,1002000407.0,3,6,1,male,no,,rural,punjab,1002,punjab,2004
71,1002000409.0,3,12,1,female,yes,no,rural,punjab,1002,punjab,2004
72,1002000409.0,4,9,1,male,yes,yes,rural,punjab,1002,punjab,2004
73,1002000409.0,5,7,1,female,yes,yes,rural,punjab,1002,punjab,2004
74,1002000412.0,5,13,1,male,yes,yes,rural,punjab,1002,punjab,2004
75,1002000413.0,4,15,1,female,yes,no,rural,punjab,1002,punjab,2004
76,1002000413.0,5,12,1,male,no,,rural,punjab,1002,punjab,2004
77,1002000413.0,6,11,1,female,yes,yes,rural,punjab,1002,punjab,2004
78,1002000414.0,3,8,1,male,yes,yes,rural,punjab,1002,punjab,2004
79,1002000415.0,2,8,1,female,no,,rural,punjab,1002,punjab,2004
80,1002000416.0,3,9,1,male,yes,yes,rural,punjab,1002,punjab,2004
81,1002000501.0,5,13,1,male,yes,yes,rural,punjab,1002,punjab,2004
82,1002000501.0,6,10,1,female,yes,yes,rural,punjab,1002,punjab,2004
83,1002000501.0,7,8,1,male,yes,yes,rural,punjab,1002,punjab,2004
84,1002000502.0,3,8,1,male,yes,yes,rural,punjab,1002,punjab,2004
85,1002000502.0,4,5,1,male,no,,rural,punjab,1002,punjab,2004
86,1002000504.0,3,7,1,female,yes,yes,rural,punjab,1002,punjab,2004
87,1002000505.0,3,15,1,male,yes,yes,rural,punjab,1002,punjab,2004
88,1002000505.0,4,12,1,male,yes,yes,rural,punjab,1002,punjab,2004
89,1002000505.0,5,6,1,female,no,,rural,punjab,1002,punjab,2004
90,1002000506.0,5,15,1,female,yes,no,rural,punjab,1002,punjab,2004
91,1002000506.0,6,13,1,male,yes,yes,rural,punjab,1002,punjab,2004
92,1002000506.0,7,9,1,female,yes,yes,rural,punjab,1002,punjab,2004
93,1002000507.0,7,13,1,male,yes,yes,rural,punjab,1002,punjab,2004
94,1002000508.0,3,13,1,female,yes,yes,rural,punjab,1002,punjab,2004
95,1002000508.0,4,7,1,male,yes,yes,rural,punjab,1002,punjab,2004
96,1002000510.0,2,12,1,female,yes,yes,rural,punjab,1002,punjab,2004
97,1002000510.0,3,10,1,female,yes,yes,rural,punjab,1002,punjab,2004
98,1002000510.0,4,9,1,male,yes,yes,rural,punjab,1002,punjab,2004
99,1002000510.0,5,7,1,male,yes,yes,rural,punjab,1002,punjab,2004
100,1002000511.0,6,15,1,female,no,,rural,punjab,1002,punjab,2004
101,1002000513.0,7,14,1,male,no,,rural,punjab,1002,punjab,2004
102,1002000515.0,3,12,1,female,yes,yes,rural,punjab,1002,punjab,2004
103,1002000515.0,4,10,1,female,yes,yes,rural,punjab,1002,punjab,2004
104,1002000515.0,5,9,1,female,yes,yes,rural,punjab,1002,punjab,2004
105,1002000515.0,6,8,1,male,yes,yes,rural,punjab,1002,punjab,2004
106,1002000515.0,7,5,1,female,yes,yes,rural,punjab,1002,punjab,2004
107,1002000516.0,6,15,1,male,yes,yes,rural,punjab,1002,punjab,2004
108,1002000516.0,7,12,1,male,yes,yes,rural,punjab,1002,punjab,2004
109,1002000703.0,3,6,1,male,yes,yes,rural,punjab,1002,punjab,2004
110,1002000708.0,3,9,1,female,yes,yes,rural,punjab,1002,punjab,2004
111,1002000708.0,4,8,1,female,yes,yes,rural,punjab,1002,punjab,2004
112,1002000708.0,5,5,1,female,no,,rural,punjab,1002,punjab,2004
113,1002000709.0,3,6,1,female,yes,yes,rural,punjab,1002,punjab,2004
114,1002000710.0,4,15,1,female,yes,no,rural,punjab,1002,punjab,2004
115,1002000712.0,6,13,1,male,yes,yes,rural,punjab,1002,punjab,2004
116,1002000712.0,7,10,1,male,yes,yes,rural,punjab,1002,punjab,2004
117,1002000713.0,3,9,1,male,yes,yes,rural,punjab,1002,punjab,2004
118,1002000713.0,4,7,1,male,yes,yes,rural,punjab,1002,punjab,2004
119,1002000713.0,5,5,1,male,yes,yes,rural,punjab,1002,punjab,2004
120,1002000714.0,4,14,1,female,yes,no,rural,punjab,1002,punjab,2004
121,1002000714.0,5,12,1,female,yes,yes,rural,punjab,1002,punjab,2004
122,1002000714.0,6,10,1,male,no,,rural,punjab,1002,punjab,2004
123,1002000714.0,7,5,1,female,no,,rural,punjab,1002,punjab,2004
124,1002000716.0,3,10,1,female,yes,yes,rural,punjab,1002,punjab,2004
125,1002001001.0,3,15,1,male,yes,yes,rural,punjab,1002,punjab,2004
126,1002001001.0,4,14,1,female,yes,yes,rural,punjab,1002,punjab,2004
127,1002001002.0,6,15,1,female,yes,yes,rural,punjab,1002,punjab,2004
128,1002001002.0,7,10,1,female,yes,yes,rural,punjab,1002,punjab,2004
129,1002001003.0,7,14,1,male,yes,yes,rural,punjab,1002,punjab,2004
130,1002001003.0,8,9,1,male,yes,yes,rural,punjab,1002,punjab,2004
131,1002001005.0,8,12,1,female,yes,yes,rural,punjab,1002,punjab,2004
132,1002001005.0,9,10,1,male,no,,rural,punjab,1002,punjab,2004
133,1002001006.0,3,10,1,male,yes,yes,rural,punjab,1002,punjab,2004
134,1002001006.0,4,9,1,male,yes,yes,rural,punjab,1002,punjab,2004
135,1002001006.0,5,7,1,male,yes,yes,rural,punjab,1002,punjab,2004
136,1002001006.0,6,5,1,female,yes,yes,rural,punjab,1002,punjab,2004
137,1002001006.0,11,15,1,female,yes,yes,rural,punjab,1002,punjab,2004
138,1002001006.0,12,13,1,female,yes,yes,rural,punjab,1002,punjab,2004
139,1002001007.0,9,14,1,female,yes,yes,rural,punjab,1002,punjab,2004
140,1002001008.0,5,12,1,male,yes,yes,rural,punjab,1002,punjab,2004
141,1002001008.0,6,10,1,female,yes,yes,rural,punjab,1002,punjab,2004
142,1002001008.0,7,8,1,male,yes,yes,rural,punjab,1002,punjab,2004
143,1002001008.0,8,6,1,female,yes,yes,rural,punjab,1002,punjab,2004
144,1002001010.0,9,11,1,male,yes,yes,rural,punjab,1002,punjab,2004
145,1002001010.0,10,9,1,male,yes,yes,rural,punjab,1002,punjab,2004
146,1002001011.0,8,15,1,male,yes,yes,rural,punjab,1002,punjab,2004
147,1002001011.0,9,13,1,female,yes,yes,rural,punjab,1002,punjab,2004
148,1002001012.0,5,12,1,male,yes,yes,rural,punjab,1002,punjab,2004
149,1002001012.0,6,10,1,female,yes,yes,rural,punjab,1002,punjab,2004
150,1002001012.0,7,8,1,female,yes,yes,rural,punjab,1002,punjab,2004
151,1002001013.0,7,15,1,male,yes,yes,rural,punjab,1002,punjab,2004
152,1002001013.0,8,12,1,male,yes,yes,rural,punjab,1002,punjab,2004
153,1002001013.0,11,8,1,male,yes,yes,rural,punjab,1002,punjab,2004
154,1002001013.0,12,6,1,female,yes,yes,rural,punjab,1002,punjab,2004
155,1002001014.0,7,6,1,female,yes,yes,rural,punjab,1002,punjab,2004
156,1002001014.0,10,10,1,male,yes,yes,rural,punjab,1002,punjab,2004
157,1002001014.0,11,6,1,male,yes,yes,rural,punjab,1002,punjab,2004
158,1002001016.0,6,7,1,male,yes,yes,rural,punjab,1002,punjab,2004
159,1002001016.0,7,5,1,male,yes,yes,rural,punjab,1002,punjab,2004
160,1002001202.0,4,15,1,female,yes,yes,rural,punjab,1002,punjab,2004
161,1002001202.0,5,13,1,male,yes,yes,rural,punjab,1002,punjab,2004
162,1002001202.0,6,9,1,male,yes,yes,rural,punjab,1002,punjab,2004
163,1002001203.0,3,11,1,male,yes,yes,rural,punjab,1002,punjab,2004
