id,hhcode,idc,age,marital_status,sex,ever_admitted,currently_enrolled,region,province,subprovince code,subprovince,year
0,1011010102.0,52,8,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
1,1011010102.0,53,6,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
2,1011010103.0,52,10,1,female,no,no,urban,Punjab,1011,Rawalpindi,2005
3,1011010104.0,52,10,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
4,1011010104.0,53,8,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
5,1011010105.0,3,10,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
6,1011010106.0,52,6,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
7,1011010106.0,53,4,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
8,1011010107.0,54,9,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
9,1011010108.0,54,4,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
10,1011010109.0,52,9,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
11,1011010109.0,53,7,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
12,1011010201.0,52,4,1,male,no,no,urban,Punjab,1011,Rawalpindi,2005
13,1011010202.0,52,10,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
14,1011010202.0,53,8,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
15,1011010202.0,54,7,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
16,1011010202.0,55,5,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
17,1011010204.0,3,10,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
18,1011010204.0,52,8,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
19,1011010204.0,53,4,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
20,1011010205.0,57,5,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
21,1011010206.0,53,9,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
22,1011010206.0,54,4,1,female,no,no,urban,Punjab,1011,Rawalpindi,2005
23,1011010207.0,53,6,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
24,1011010209.0,52,9,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
25,1011010209.0,53,6,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
26,1011010304.0,57,9,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
27,1011010304.0,58,6,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
28,1011010305.0,54,9,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
29,1011010307.0,2,10,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
30,1011010307.0,52,5,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
31,1011010309.0,52,4,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
32,1011010310.0,54,6,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
33,1011010310.0,55,4,1,female,no,no,urban,Punjab,1011,Rawalpindi,2005
34,1011010311.0,52,7,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
35,1011010311.0,53,6,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
36,1011010311.0,54,5,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
37,1011020102.0,52,9,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
38,1011020102.0,53,5,1,male,no,no,urban,Punjab,1011,Rawalpindi,2005
39,1011020103.0,52,9,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
40,1011020103.0,53,7,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
41,1011020103.0,54,5,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
42,1011020104.0,53,8,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
43,1011020104.0,54,5,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
44,1011020105.0,53,5,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
45,1011020106.0,54,6,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
46,1011020106.0,55,6,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
47,1011020106.0,56,4,1,female,no,no,urban,Punjab,1011,Rawalpindi,2005
48,1011020111.0,52,8,1,male,yes,yes,urban,Punjab,1011,Rawalpindi,2005
49,1011020111.0,53,7,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
50,1011020112.0,53,10,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
51,1011020201.0,53,9,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
52,1011020202.0,56,6,1,female,yes,yes,urban,Punjab,1011,Rawalpindi,2005
53,1011020202.0,57,4,1,female,no,no,urban,Punjab,1011,Rawalpindi,2005
