,hhcode,age,idc,sex,marital_status,ever_admitted,currently_enrolled,region,subprovince code,province,subprovince,year
0,1011010101,6,53,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
1,1011010101,4,54,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
2,1011010102,15,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
3,1011010102,12,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
4,1011010105,15,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
5,1011010105,12,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
6,1011010105,9,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
7,1011010110,14,3,male,1,yes,no,urban,1011,Punjab,Rawalpindi,2011
8,1011010110,13,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
9,1011010110,11,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
10,1011010110,9,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
11,1011010110,6,55,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
12,1011010111,14,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
13,1011010111,12,4,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
14,1011010111,14,6,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
15,1011010111,12,7,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
16,1011010201,12,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
17,1011010202,15,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
18,1011010202,11,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
19,1011010204,13,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
20,1011010204,11,4,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
21,1011010204,15,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
22,1011010205,8,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
23,1011010207,11,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
24,1011010207,13,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
25,1011010207,5,53,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
26,1011010210,15,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
27,1011010210,9,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
28,1011010211,14,53,female,1,yes,no,urban,1011,Punjab,Rawalpindi,2011
29,1011010211,5,54,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
30,1011010212,13,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
31,1011010301,12,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
32,1011010301,9,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
33,1011010301,6,53,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
34,1011010303,5,59,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
35,1011010304,6,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
36,1011010304,5,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
37,1011010304,4,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
38,1011010305,13,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
39,1011010305,8,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
40,1011010305,5,53,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
41,1011010306,14,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
42,1011010306,15,53,female,1,no,no,urban,1011,Punjab,Rawalpindi,2011
43,1011010308,7,55,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
44,1011010309,15,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
45,1011010309,13,4,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
46,1011010309,8,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
47,1011010311,14,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
48,1011010311,12,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
49,1011010312,15,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
50,1011020103,10,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
51,1011020103,5,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
52,1011020106,7,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
53,1011020109,11,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
54,1011020109,9,55,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
55,1011020111,8,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
56,1011020111,6,53,female,1,no,no,urban,1011,Punjab,Rawalpindi,2011
57,1011020111,4,54,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
58,1011020112,5,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
59,1011020201,13,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
60,1011020201,10,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
61,1011020201,15,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
62,1011020202,4,52,male,1,no,no,urban,1011,Punjab,Rawalpindi,2011
63,1011020203,14,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
64,1011020204,8,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
65,1011020204,4,54,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
66,1011020204,7,58,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
67,1011020204,5,59,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
68,1011020205,7,52,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
69,1011020205,5,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
70,1011020206,12,1,male,1,no,no,urban,1011,Punjab,Rawalpindi,2011
71,1011020206,10,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
72,1011020206,7,54,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
73,1011020207,14,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
74,1011020207,12,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
75,1011020209,5,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
76,1011020210,14,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
77,1011020210,11,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
78,1011020211,4,54,female,1,no,no,urban,1011,Punjab,Rawalpindi,2011
79,1011020212,10,4,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
80,1011020212,12,52,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
81,1011020212,7,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
82,1011020212,15,54,female,1,yes,no,urban,1011,Punjab,Rawalpindi,2011
83,1011020301,13,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
84,1011020304,4,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
85,1011020306,13,2,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
86,1011020306,10,3,male,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
87,1011020306,15,53,female,1,yes,yes,urban,1011,Punjab,Rawalpindi,2011
