,hhcode,idc,ever_admitted,max_level_achieved,currently_enrolled,why_not,region,province,age,sex,marital_status,subprovince code
2,1111000101.0,3,no,4.0,no,,urban,1,10,female,unmarried,1111
3,1111000101.0,4,no,3.0,no,,urban,1,9,female,unmarried,1111
4,1111000101.0,5,yes,1.0,yes,,urban,1,7,female,unmarried,1111
7,1111000102.0,3,yes,12.0,no,,urban,1,14,female,unmarried,1111
10,1111000103.0,3,yes,0.0,no,5.0,urban,1,7,female,unmarried,1111
11,1111000103.0,4,no,10.0,no,11.0,urban,1,6,male,unmarried,1111
20,1111000105.0,6,yes,8.0,yes,,urban,1,12,male,unmarried,1111
27,1111000107.0,4,yes,0.0,yes,,urban,1,15,male,unmarried,1111
28,1111000107.0,5,yes,,yes,,urban,1,9,male,unmarried,1111
29,1111000107.0,6,yes,,yes,,urban,1,7,female,unmarried,1111
30,1111000107.0,7,yes,13.0,yes,,urban,1,6,female,unmarried,1111
34,1111000108.0,4,no,7.0,no,,urban,1,14,female,unmarried,1111
35,1111000108.0,5,no,,no,,urban,1,12,female,unmarried,1111
39,1111000109.0,4,no,18.0,no,,urban,1,14,male,unmarried,1111
40,1111000109.0,5,no,12.0,no,4.0,urban,1,12,female,unmarried,1111
41,1111000109.0,6,no,12.0,no,11.0,urban,1,9,female,unmarried,1111
50,1111000112.0,5,no,12.0,no,6.0,urban,1,15,female,unmarried,1111
51,1111000112.0,6,yes,,yes,,urban,1,14,female,unmarried,1111
57,1111000201.0,6,yes,13.0,yes,,urban,1,15,male,unmarried,1111
58,1111000201.0,7,yes,12.0,no,,urban,1,12,female,unmarried,1111
59,1111000201.0,8,yes,12.0,no,,urban,1,8,female,unmarried,1111
75,1111000206.0,6,yes,13.0,no,,urban,1,12,female,unmarried,1111
76,1111000206.0,7,no,2.0,no,,urban,1,7,female,unmarried,1111
89,1111000209.0,5,yes,5.0,yes,,urban,1,8,female,unmarried,1111
90,1111000209.0,6,yes,10.0,yes,,urban,1,5,male,unmarried,1111
92,1111000210.0,1,no,,no,,urban,1,15,male,unmarried,1111
93,1111000210.0,2,no,12.0,no,,urban,1,10,male,unmarried,1111
99,1111000211.0,4,yes,7.0,yes,,urban,1,8,female,unmarried,1111
100,1111000211.0,5,no,3.0,no,,urban,1,6,female,unmarried,1111
112,1111000302.0,3,yes,4.0,yes,,urban,1,14,female,unmarried,1111
113,1111000302.0,4,yes,2.0,yes,,urban,1,12,male,unmarried,1111
116,1111000303.0,3,yes,4.0,no,,urban,1,10,female,unmarried,1111
117,1111000303.0,4,yes,,yes,,urban,1,8,male,unmarried,1111
118,1111000303.0,5,no,6.0,no,,urban,1,6,female,unmarried,1111
121,1111000304.0,3,yes,,yes,,urban,1,6,male,unmarried,1111
125,1111000305.0,3,yes,13.0,no,11.0,urban,1,12,female,unmarried,1111
126,1111000305.0,4,yes,12.0,no,11.0,urban,1,10,female,unmarried,1111
127,1111000305.0,5,yes,10.0,yes,,urban,1,8,female,unmarried,1111
128,1111000305.0,6,yes,9.0,yes,,urban,1,6,female,unmarried,1111
139,1111000308.0,4,yes,5.0,yes,,urban,1,10,female,unmarried,1111
150,1111000312.0,2,yes,,yes,,urban,1,12,male,unmarried,1111
151,1111000312.0,3,no,,no,,urban,1,10,male,unmarried,1111
172,1111000407.0,3,yes,8.0,yes,,urban,1,15,male,unmarried,1111
173,1111000407.0,4,yes,8.0,yes,,urban,1,14,male,unmarried,1111
