,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,male,Abbottabad,rural,61,56.0,0.9180327868852459
1,male,Abbottabad,urban,36,24.0,0.6666666666666666
2,male,Attock,rural,56,47.0,0.8392857142857143
3,male,Attock,urban,34,25.0,0.7352941176470589
4,male,Awaran,rural,21,12.0,0.5714285714285714
5,male,Awaran,urban,58,34.0,0.5862068965517241
6,male,Badin,rural,60,49.0,0.8166666666666667
7,male,Badin,urban,100,52.0,0.52
8,male,Bahawalnagar,rural,83,72.0,0.8674698795180723
9,male,Bahawalnagar,urban,95,69.0,0.7263157894736842
10,male,Bahawalpur,rural,102,91.0,0.8921568627450981
11,male,Bahawalpur,urban,89,62.0,0.6966292134831461
12,male,Bannu,rural,31,24.0,0.7741935483870968
13,male,Bannu,urban,27,25.0,0.9259259259259259
14,male,Barkhan,rural,69,50.0,0.7246376811594203
15,male,Barkhan,urban,316,145.0,0.4588607594936709
16,male,Batagram,rural,61,56.0,0.9180327868852459
17,male,Batagram,urban,71,67.0,0.9436619718309859
18,male,Bhakhar,rural,61,50.0,0.819672131147541
19,male,Bhakhar,urban,57,42.0,0.7368421052631579
20,male,Bolan/ Kachhi,rural,54,37.0,0.6851851851851852
21,male,Bolan/ Kachhi,urban,292,102.0,0.3493150684931507
22,male,Bonair,rural,100,78.0,0.78
23,male,Bonair,urban,34,23.0,0.6764705882352942
24,male,Chaghai,rural,50,32.0,0.64
25,male,Chaghai,urban,453,267.0,0.5894039735099338
26,male,Chakwal,rural,56,47.0,0.8392857142857143
27,male,Chakwal,urban,29,26.0,0.896551724137931
28,male,Charsada,rural,118,99.0,0.8389830508474576
29,male,Charsada,urban,71,54.0,0.7605633802816901
30,male,Chiniot,rural,79,72.0,0.9113924050632911
31,male,Chiniot,urban,31,23.0,0.7419354838709677
32,male,Chitral,rural,100,78.0,0.78
33,male,Chitral,urban,48,34.0,0.7083333333333334
34,male,D. G. Khan,rural,71,66.0,0.9295774647887324
35,male,D. G. Khan,urban,133,87.0,0.6541353383458647
36,male,D. I. Khan,rural,36,27.0,0.75
37,male,D. I. Khan,urban,44,36.0,0.8181818181818182
38,male,Dadu,rural,60,49.0,0.8166666666666667
39,male,Dadu,urban,146,82.0,0.5616438356164384
40,male,Dera Bugti,rural,39,27.0,0.6923076923076923
41,male,Dera Bugti,urban,101,45.0,0.44554455445544555
42,male,Faisalabad,rural,174,155.0,0.8908045977011494
43,male,Faisalabad,urban,104,83.0,0.7980769230769231
44,male,Ghotki,rural,66,48.0,0.7272727272727273
