,sex,subprovince,region,sample_population,enrolled_total,rate_enrollment
0,male,Abbottabad,rural,307,287,0.9348534201954397
1,male,Abbottabad,urban,0,0,
2,male,Attock,rural,369,349,0.94579945799458
3,male,Attock,urban,0,0,
4,male,Awaran,rural,289,207,0.7162629757785467
5,male,Awaran,urban,0,0,
6,male,Badin,rural,845,487,0.5763313609467455
7,male,Badin,urban,0,0,
8,male,Bahawalnager,rural,777,633,0.8146718146718147
9,male,Bahawalnager,urban,0,0,
10,male,Bahawalpur,rural,773,513,0.6636481241914618
11,male,Bahawalpur,urban,0,0,
12,male,Bannu,rural,532,418,0.7857142857142857
13,male,Bannu,urban,0,0,
14,male,Barkhan,rural,493,381,0.7728194726166329
15,male,Barkhan,urban,0,0,
16,male,Batagram,rural,630,441,0.7
17,male,Batagram,urban,0,0,
18,male,Bhakhar,rural,530,406,0.7660377358490567
19,male,Bhakhar,urban,0,0,
20,male,Bhawalpur,rural,0,0,
21,male,Bhawalpur,urban,490,404,0.8244897959183674
22,male,Bolan/kachhi,rural,426,200,0.4694835680751174
23,male,Bolan/kachhi,urban,0,0,
24,male,Bonair,rural,930,715,0.7688172043010753
25,male,Bonair,urban,0,0,
26,male,Chaghi,rural,534,328,0.6142322097378277
27,male,Chaghi,urban,0,0,
28,male,Chakwal,rural,338,297,0.878698224852071
29,male,Chakwal,urban,0,0,
30,male,Charsada,rural,518,384,0.7413127413127413
31,male,Charsada,urban,0,0,
32,male,Chitral,rural,575,453,0.7878260869565218
33,male,Chitral,urban,0,0,
34,male,D.G. Khan,rural,785,559,0.7121019108280254
35,male,D.G. Khan,urban,0,0,
36,male,D.I.Khan,rural,615,376,0.6113821138211382
37,male,D.I.Khan,urban,0,0,
38,male,Dadu,rural,1228,676,0.5504885993485342
39,male,Dadu,urban,0,0,
40,male,Deara Bughti,rural,482,231,0.47925311203319504
41,male,Deara Bughti,urban,0,0,
42,male,Faisalabad,rural,1147,1014,0.8840453356582388
43,male,Faisalabad,urban,1178,1116,0.9473684210526315
44,male,Ghotki,rural,925,657,0.7102702702702702
45,male,Ghotki,urban,0,0,
46,male,Gujranwala,rural,661,609,0.9213313161875946
47,male,Gujranwala,urban,686,630,0.9183673469387755
48,male,Gujrat,rural,485,438,0.9030927835051547
49,male,Gujrat,urban,0,0,
50,male,Gwadar,rural,285,148,0.519298245614035
51,male,Gwadar,urban,0,0,
52,male,Hafizabad,rural,413,367,0.8886198547215496
53,male,Hafizabad,urban,0,0,
54,male,Hangu,rural,664,532,0.8012048192771084
55,male,Hangu,urban,0,0,
56,male,Haripur,rural,353,326,0.9235127478753541
57,male,Haripur,urban,0,0,
58,male,Hyderabad,rural,1276,798,0.6253918495297806
59,male,Hyderabad,urban,752,559,0.7433510638297872
60,male,Islamabad,rural,241,234,0.970954356846473
61,male,Islamabad,urban,260,241,0.926923076923077
62,male,Jaccobabad,rural,1173,540,0.46035805626598464
63,male,Jaccobabad,urban,0,0,
64,male,Jafarabad,rural,538,299,0.5557620817843866
65,male,Jafarabad,urban,0,0,
66,male,Jehlum,rural,297,286,0.9629629629629629
67,male,Jehlum,urban,0,0,
68,male,JhalMagsi,rural,543,297,0.5469613259668509
69,male,JhalMagsi,urban,0,0,
70,male,Jhang,rural,942,656,0.6963906581740976
71,male,Jhang,urban,0,0,
72,male,Kalat,rural,398,284,0.7135678391959799
73,male,Kalat,urban,0,0,
74,male,Karachi,rural,519,366,0.7052023121387283
75,male,Karachi,urban,3476,2985,0.8587456846950517
76,male,Karak,rural,653,558,0.8545176110260337
77,male,Karak,urban,0,0,
78,male,Kasur,rural,769,651,0.846553966189857
79,male,Kasur,urban,0,0,
80,male,Ketch/Turbat,rural,496,379,0.7641129032258065
81,male,Ketch/Turbat,urban,0,0,
82,male,Khairpur,rural,957,655,0.6844305120167189
83,male,Khairpur,urban,0,0,
84,male,Khanewal,rural,703,582,0.8278805120910384
85,male,Khanewal,urban,0,0,
86,male,Kharan,rural,384,264,0.6875
87,male,Kharan,urban,0,0,
88,male,Khushab,rural,334,287,0.8592814371257484
89,male,Khushab,urban,0,0,
90,male,Khuzdar,rural,404,245,0.6064356435643564
91,male,Khuzdar,urban,0,0,
92,male,Kohat,rural,498,407,0.8172690763052208
93,male,Kohat,urban,0,0,
94,male,Kohistan,rural,442,266,0.6018099547511312
95,male,Kohistan,urban,0,0,
96,male,Kohlu,rural,449,248,0.5523385300668151
97,male,Kohlu,urban,0,0,
98,male,Lahore,rural,536,477,0.8899253731343284
99,male,Lahore,urban,2012,1754,0.8717693836978131
100,male,LakkiMarwat,rural,532,429,0.806390977443609
101,male,LakkiMarwat,urban,0,0,
102,male,Larkana,rural,1447,736,0.5086385625431928
103,male,Larkana,urban,0,0,
104,male,Lasbilla,rural,452,228,0.504424778761062
105,male,Lasbilla,urban,0,0,
106,male,Layyah,rural,518,428,0.8262548262548263
107,male,Layyah,urban,0,0,
108,male,Lodhran,rural,389,251,0.6452442159383034
109,male,Lodhran,urban,0,0,
110,male,Loralai,rural,481,357,0.7422037422037422
